file1;file2;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_dir_cnt-runtime;kofola_fast_dir_cnt-retcode;kofola_fast_dir_cnt-states_cnt;kofola_fast_gfee_cnt-runtime;kofola_fast_gfee_cnt-retcode;kofola_fast_gfee_cnt-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;0.11;0;17921;0.12;0;17921;2.67;0;17921;0.12;0;17921;0.11;0;17921;0.05;0;17921
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;0.01;1;2;0.01;1;2;0.02;1;2;0.01;1;2;0.01;1;2;0.01;1;31
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;0.35;1;125;0.36;1;125;1.36;1;125;0.36;1;125;0.36;1;125;1.51;1;4160
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;2.44;1;219;2.35;1;219;393.05;1;219;2.4;1;219;2.4;1;219;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;5.16;1;294;5.22;1;294;TO;TO;TO;5.28;1;294;5.32;1;294;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;0.52;1;219;0.51;1;219;15.66;1;219;0.53;1;219;0.54;1;219;16.78;1;11636
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;0.02;1;1249;0.02;1;1239;0.02;1;1329;0.01;1;1329;0.01;1;1329;0.01;1;1187
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;0.06;1;1915;0.05;1;1780;0.07;1;2007;0.03;1;2007;0.03;1;2007;0.02;1;1625
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;0.07;1;1947;0.05;1;1776;0.05;1;2039;0.03;1;2039;0.03;1;2039;0.02;1;1691
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;0.03;1;1428;0.03;1;1369;0.03;1;1501;0.01;1;1501;0.02;1;1501;0.01;1;1339
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;0.98;1;4919;0.97;1;4919;3.15;1;4919;0.9;1;4919;0.92;1;4919;0.58;1;4991
