file1;file2;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_dir_cnt-runtime;kofola_fast_dir_cnt-retcode;kofola_fast_dir_cnt-states_cnt;kofola_fast_gfee_cnt-runtime;kofola_fast_gfee_cnt-retcode;kofola_fast_gfee_cnt-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;42
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_B.ba.hoa;0.0;1;25;0.0;1;25;0.01;1;25;0.0;1;25;0.0;1;25;0.0;1;81
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;9;0.0;1;9;0.0;1;9;0.0;1;9;0.01;1;9;0.0;1;12
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.01;1;20;0.0;1;20;0.0;1;20;0.0;1;20;0.0;1;20;0.0;1;17
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;12;0.0;1;12;0.0;1;12;0.0;1;12;0.0;1;12;0.0;1;13
automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;6;0.0;1;6;0.01;1;6;0.0;1;6;0.0;1;6;0.0;1;8
automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;0;18;0.0;0;18;0.01;0;18;0.0;0;18;0.0;0;18;0.0;0;12
automata/termination/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;13;0.0;1;14
automata/termination/AlternDivWide_false-termination.c_Iteration2_A.ba.hoa;automata/termination/AlternDivWide_false-termination.c_Iteration2_B.ba.hoa;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;8
automata/termination/AlternDiv_false-termination.c_Iteration2_A.ba.hoa;automata/termination/AlternDiv_false-termination.c_Iteration2_B.ba.hoa;0.0;1;10;0.01;1;10;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;12
automata/termination/Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_A.ba.hoa;automata/termination/Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_B.ba.hoa;0.0;1;25;0.0;1;25;0.01;1;25;0.0;1;25;0.0;1;25;0.0;1;37
automata/termination/Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4_A.ba.hoa;automata/termination/Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4_B.ba.hoa;0.01;1;40;0.0;1;40;0.01;1;40;0.0;1;40;0.0;1;40;0.0;1;92
automata/termination/BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;14;0.0;1;14;0.0;1;14;0.01;1;14;0.0;1;14;0.0;1;32
automata/termination/BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.01;1;10;0.0;1;10;0.01;1;10;0.0;1;10;0.0;1;10;0.0;1;31
