file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;kofola_nodir_high_cnt-runtime;kofola_nodir_high_cnt-retcode;kofola_nodir_high_cnt-states_cnt;kofola_nodir_high-runtime;kofola_nodir_high-retcode;kofola_nodir_high-states_cnt;kofola_nodir_medium_cnt-runtime;kofola_nodir_medium_cnt-retcode;kofola_nodir_medium_cnt-states_cnt;kofola_nodir_medium-runtime;kofola_nodir_medium-retcode;kofola_nodir_medium-states_cnt;kofola_nodir_low_cnt-runtime;kofola_nodir_low_cnt-retcode;kofola_nodir_low_cnt-states_cnt;kofola_nodir_low-runtime;kofola_nodir_low-retcode;kofola_nodir_low-states_cnt;kofola_nodir_no_preproc_cnt-runtime;kofola_nodir_no_preproc_cnt-retcode;kofola_nodir_no_preproc_cnt-states_cnt;kofola_nodir_no_preproc-runtime;kofola_nodir_no_preproc-retcode;kofola_nodir_no_preproc-states_cnt;kofola_noopt_high_cnt-runtime;kofola_noopt_high_cnt-retcode;kofola_noopt_high_cnt-states_cnt;kofola_noopt_high-runtime;kofola_noopt_high-retcode;kofola_noopt_high-states_cnt;kofola_noopt_medium_cnt-runtime;kofola_noopt_medium_cnt-retcode;kofola_noopt_medium_cnt-states_cnt;kofola_noopt_medium-runtime;kofola_noopt_medium-retcode;kofola_noopt_medium-states_cnt;kofola_noopt_low_cnt-runtime;kofola_noopt_low_cnt-retcode;kofola_noopt_low_cnt-states_cnt;kofola_noopt_low-runtime;kofola_noopt_low-retcode;kofola_noopt_low-states_cnt;kofola_noopt_no_preproc_cnt-runtime;kofola_noopt_no_preproc_cnt-retcode;kofola_noopt_no_preproc_cnt-states_cnt;kofola_noopt_no_preproc-runtime;kofola_noopt_no_preproc-retcode;kofola_noopt_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/hyperltl/gni_concur_p1_1bit_A.hoa;automata/hyperltl/gni_concur_p1_1bit_B.hoa;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;16;0.0;0;;0.0;0;33;0.0;0;;0.0;0;33;0.0;0;;0.0;0;33;0.0;0;;0.0;0;33;0.0;0;;0.0;0;33;0.0;0;;0.01;0;33;0.0;0;
automata/hyperltl/gni_concur_p1_3bit_A.hoa;automata/hyperltl/gni_concur_p1_3bit_B.hoa;0.01;0;14;0.0;0;;0.0;0;14;0.0;0;;0.01;0;0;0.0;0;;0.01;0;0;0.01;0;;0.01;0;14;0.01;0;;0.0;0;14;0.01;0;;0.0;0;16;0.01;0;;0.01;0;515;0.01;0;;0.01;0;513;0.01;0;;0.01;0;513;0.01;0;;0.01;0;513;0.01;0;;0.01;0;515;0.01;0;;0.01;0;513;0.0;0;
automata/hyperltl/gni_concur_p1_4bit_A.hoa;automata/hyperltl/gni_concur_p1_4bit_B.hoa;0.09;0;14;0.09;0;;0.07;0;14;0.06;0;;0.07;0;0;0.08;0;;0.1;0;0;0.09;0;;0.08;0;14;0.08;0;;0.06;0;14;0.06;0;;0.07;0;16;0.07;0;;0.2;0;2051;0.2;0;;0.13;0;2049;0.13;0;;0.13;0;2049;0.12;0;;0.13;0;2049;0.14;0;;0.2;0;2051;0.19;0;;0.07;0;2049;0.06;0;
automata/hyperltl/gni_concur_p2_1bit_A.hoa;automata/hyperltl/gni_concur_p2_1bit_B.hoa;0.0;0;27;0.0;0;;0.01;0;27;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.0;0;36;0.0;0;;0.0;0;373;0.0;0;;0.0;0;373;0.0;0;;0.01;0;373;0.0;0;;0.0;0;373;0.0;0;;0.0;0;373;0.0;0;;0.01;0;373;0.0;0;
automata/hyperltl/gni_concur_p3_1bit_A.hoa;automata/hyperltl/gni_concur_p3_1bit_B.hoa;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.01;0;;0.0;0;0;0.01;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.01;0;22;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.01;0;114;0.0;0;
automata/hyperltl/gni_concur_p3_3bit_A.hoa;automata/hyperltl/gni_concur_p3_3bit_B.hoa;0.02;0;14;0.02;0;;0.02;0;14;0.01;0;;0.02;0;0;0.02;0;;0.04;0;0;0.05;0;;0.03;0;14;0.02;0;;0.01;0;14;0.01;0;;0.02;0;22;0.02;0;;0.03;0;1795;0.02;0;;0.02;0;1794;0.01;0;;0.02;0;1794;0.02;0;;0.02;0;1794;0.02;0;;0.02;0;1795;0.02;0;;0.01;0;1794;0.01;0;
automata/hyperltl/gni_concur_p4_1bit_A.hoa;automata/hyperltl/gni_concur_p4_1bit_B.hoa;0.0;0;17;0.0;0;;0.0;0;17;0.0;0;;0.01;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;17;0.0;0;;0.0;0;17;0.0;0;;0.0;0;29;0.0;0;;0.0;0;177;0.0;0;;0.0;0;177;0.0;0;;0.0;0;177;0.0;0;;0.0;0;177;0.0;0;;0.0;0;177;0.0;0;;0.01;0;177;0.0;0;
automata/hyperltl/gni_concur_p4_3bit_A.hoa;automata/hyperltl/gni_concur_p4_3bit_B.hoa;0.05;0;17;0.05;0;;0.01;0;17;0.0;0;;0.05;0;0;0.05;0;;0.08;0;0;0.08;0;;0.05;0;17;0.05;0;;0.02;0;17;0.01;0;;0.05;0;29;0.05;0;;0.03;0;2818;0.03;0;;0.01;0;2817;0.02;0;;0.02;0;2817;0.02;0;;0.03;0;2817;0.02;0;;0.03;0;2818;0.02;0;;0.01;0;2817;0.01;0;
automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;0.0;0;1;0.0;0;;0.0;0;1;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;
automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.01;0;27;0.0;0;
