file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;ERR;ERR;ERR;596.21;1;;ERR;ERR;ERR;0.02;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;;0.01;1;12;0.01;1;12;0.01;1;12;0.02;1;12;0.01;1;1061
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;ERR;ERR;ERR;609.01;1;;ERR;ERR;ERR;0.06;1;;0.05;1;;0.05;1;;0.05;1;;0.03;1;;0.06;1;3;0.05;1;3;0.06;1;3;0.06;1;3;0.02;1;686
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;36.93;0;;4.01;1;;37.5;0;;0.01;1;;0.0;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;12;0.01;1;12;0.0;1;12;0.01;1;12;0.01;1;1132
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;35.01;0;;44.37;1;;52.93;0;;0.01;1;;0.01;1;;0.01;1;;0.0;1;;0.01;1;;0.01;1;3;0.01;1;3;0.01;1;3;0.02;1;3;0.01;1;775
automata/hyperltl/gni_concur_p1_1bit_A.hoa;automata/hyperltl/gni_concur_p1_1bit_B.hoa;0.05;0;;0.12;0;;0.18;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;33;0.0;0;33;0.0;0;33;0.0;0;33;0.0;0;33
automata/hyperltl/gni_concur_p1_1bit_B.hoa;automata/hyperltl/gni_concur_p1_1bit_A.hoa;0.05;0;;0.08;0;;0.16;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;17;0.0;0;17;0.0;0;17;0.0;0;17;0.0;0;17
automata/hyperltl/gni_concur_p1_3bit_A.hoa;automata/hyperltl/gni_concur_p1_3bit_B.hoa;0.38;0;;4.06;0;;42.52;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.01;0;;0.01;0;513;0.01;0;513;0.01;0;513;0.01;0;513;0.01;0;513
automata/hyperltl/gni_concur_p1_3bit_B.hoa;automata/hyperltl/gni_concur_p1_3bit_A.hoa;0.32;0;;5.15;0;;26.67;0;;0.01;0;;0.01;0;;0.01;0;;0.0;0;;0.01;0;;0.01;0;65;0.01;0;65;0.0;0;65;0.0;0;65;0.0;0;65
automata/hyperltl/gni_concur_p1_4bit_A.hoa;automata/hyperltl/gni_concur_p1_4bit_B.hoa;2.63;0;;488.45;0;;TO;TO;TO;0.15;0;;0.16;0;;0.16;0;;0.17;0;;0.06;0;;0.14;0;2049;0.15;0;2049;0.16;0;2049;0.16;0;2049;0.07;0;2049
automata/hyperltl/gni_concur_p1_4bit_B.hoa;automata/hyperltl/gni_concur_p1_4bit_A.hoa;2.37;0;;TO;TO;TO;TO;TO;TO;0.07;0;;0.07;0;;0.07;0;;0.07;0;;0.07;0;;0.08;0;129;0.07;0;129;0.08;0;129;0.08;0;129;0.07;0;129
