file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;kofola_nodir_high_cnt-runtime;kofola_nodir_high_cnt-retcode;kofola_nodir_high_cnt-states_cnt;kofola_nodir_high-runtime;kofola_nodir_high-retcode;kofola_nodir_high-states_cnt;kofola_nodir_medium_cnt-runtime;kofola_nodir_medium_cnt-retcode;kofola_nodir_medium_cnt-states_cnt;kofola_nodir_medium-runtime;kofola_nodir_medium-retcode;kofola_nodir_medium-states_cnt;kofola_nodir_low_cnt-runtime;kofola_nodir_low_cnt-retcode;kofola_nodir_low_cnt-states_cnt;kofola_nodir_low-runtime;kofola_nodir_low-retcode;kofola_nodir_low-states_cnt;kofola_nodir_no_preproc_cnt-runtime;kofola_nodir_no_preproc_cnt-retcode;kofola_nodir_no_preproc_cnt-states_cnt;kofola_nodir_no_preproc-runtime;kofola_nodir_no_preproc-retcode;kofola_nodir_no_preproc-states_cnt;kofola_noopt_high_cnt-runtime;kofola_noopt_high_cnt-retcode;kofola_noopt_high_cnt-states_cnt;kofola_noopt_high-runtime;kofola_noopt_high-retcode;kofola_noopt_high-states_cnt;kofola_noopt_medium_cnt-runtime;kofola_noopt_medium_cnt-retcode;kofola_noopt_medium_cnt-states_cnt;kofola_noopt_medium-runtime;kofola_noopt_medium-retcode;kofola_noopt_medium-states_cnt;kofola_noopt_low_cnt-runtime;kofola_noopt_low_cnt-retcode;kofola_noopt_low_cnt-states_cnt;kofola_noopt_low-runtime;kofola_noopt_low-retcode;kofola_noopt_low-states_cnt;kofola_noopt_no_preproc_cnt-runtime;kofola_noopt_no_preproc_cnt-retcode;kofola_noopt_no_preproc_cnt-states_cnt;kofola_noopt_no_preproc-runtime;kofola_noopt_no_preproc-retcode;kofola_noopt_no_preproc-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt
automata/hyperltl/NI_correct_NI_formula_A.hoa;automata/hyperltl/NI_correct_NI_formula_B.hoa;0.09;0;65;0.09;0;;0.01;0;65;0.02;0;;0.01;0;65;0.01;0;;0.01;0;65;0.01;0;;0.08;0;65;0.07;0;;0.0;0;65;0.0;0;;0.01;0;65;0.0;0;;0.0;0;65;0.0;0;;0.08;0;65;0.08;0;;0.0;0;65;0.0;0;;0.0;0;65;0.0;0;;0.0;0;65;0.0;0;;0.0;0;61;0.01;0;
automata/hyperltl/NI_incorrect_NI_formula_A.hoa;automata/hyperltl/NI_incorrect_NI_formula_B.hoa;7.73;1;185;7.88;1;;1.22;1;185;1.21;1;;1.47;1;185;1.5;1;;1.05;1;185;1.05;1;;1.88;1;185;1.88;1;;0.17;1;185;0.16;1;;0.44;1;185;0.43;1;;0.03;1;185;0.02;1;;1.87;1;185;1.9;1;;0.17;1;185;0.16;1;;0.44;1;185;0.45;1;;0.02;1;185;0.02;1;;0.35;1;92;0.35;1;
automata/hyperltl/NRP_correct_NRP_formula_A.hoa;automata/hyperltl/NRP_correct_NRP_formula_B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;0.0;1;15;0.0;1;;0.0;1;15;0.0;1;;0.0;1;19;0.01;1;;0.01;1;34;0.0;1;;0.0;1;15;0.0;1;;0.0;1;15;0.0;1;;0.0;1;19;0.0;1;;0.01;1;34;0.01;1;;0.0;1;56;0.01;1;
automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;0.45;1;25;0.44;1;;0.44;1;25;0.44;1;;0.44;1;26;0.42;1;;0.25;1;32;0.25;1;;0.22;1;25;0.23;1;;0.21;1;25;0.22;1;;0.18;1;26;0.19;1;;0.01;1;32;0.01;1;;0.23;1;25;0.22;1;;0.22;1;25;0.22;1;;0.19;1;26;0.19;1;;0.0;1;32;0.0;1;;0.27;1;49;0.28;1;
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;0.09;1;33;0.08;1;;0.07;1;33;0.07;1;;0.05;1;33;0.05;1;;0.02;1;38;0.03;1;;0.07;1;33;0.06;1;;0.06;1;33;0.06;1;;0.02;1;33;0.02;1;;0.02;1;38;0.01;1;;0.07;1;33;0.07;1;;0.05;1;33;0.06;1;;0.02;1;33;0.02;1;;0.01;1;38;0.01;1;;0.03;1;248;0.03;1;
automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_B.hoa;0.24;0;98;0.26;0;;0.22;0;98;0.22;0;;0.3;0;112;0.31;0;;0.34;0;531;0.33;0;;0.04;0;98;0.03;0;;0.03;0;98;0.02;0;;0.03;0;112;0.03;0;;0.07;0;531;0.05;0;;0.04;0;98;0.04;0;;0.03;0;98;0.03;0;;0.02;0;112;0.03;0;;0.33;0;6303;0.31;0;;0.03;0;167;0.03;0;
automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_B.hoa;0.01;1;33;0.01;1;;0.0;1;33;0.0;1;;0.01;1;33;0.0;1;;0.0;1;38;0.01;1;;0.02;1;33;0.01;1;;0.0;1;33;0.0;1;;0.01;1;33;0.0;1;;0.0;1;38;0.0;1;;0.02;1;33;0.02;1;;0.0;1;33;0.0;1;;0.0;1;33;0.0;1;;0.0;1;38;0.0;1;;0.0;1;7;0.0;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_B.hoa;0.02;1;33;0.02;1;;0.01;1;33;0.0;1;;0.01;1;33;0.01;1;;0.0;1;38;0.0;1;;0.02;1;33;0.01;1;;0.0;1;33;0.0;1;;0.0;1;33;0.0;1;;0.0;1;38;0.0;1;;0.02;1;33;0.01;1;;0.0;1;33;0.0;1;;0.0;1;33;0.0;1;;0.0;1;38;0.0;1;;0.0;1;168;0.01;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;0.2;1;10;0.19;1;;0.08;1;10;0.08;1;;0.17;1;10;0.18;1;;0.16;1;12;0.17;1;;0.13;1;10;0.13;1;;0.03;1;10;0.02;1;;0.06;1;10;0.06;1;;0.03;1;12;0.03;1;;0.12;1;10;0.12;1;;0.03;1;10;0.03;1;;0.06;1;10;0.06;1;;0.03;1;12;0.03;1;;0.01;1;1061;0.02;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;0.05;1;10;0.05;1;;0.04;1;10;0.03;1;;0.04;1;10;0.05;1;;0.08;1;12;0.09;1;;0.03;1;10;0.03;1;;0.01;1;10;0.01;1;;0.02;1;10;0.01;1;;0.03;1;12;0.03;1;;0.03;1;10;0.02;1;;0.01;1;10;0.01;1;;0.02;1;10;0.01;1;;0.03;1;12;0.03;1;;0.0;1;1132;0.01;1;
automata/hyperltl/gni_concur_p1_1bit_A.hoa;automata/hyperltl/gni_concur_p1_1bit_B.hoa;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.0;0;;0.01;0;0;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;16;0.0;0;;0.0;0;33;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;16;0.0;0;;0.01;0;33;0.0;0;;0.0;0;33;0.01;0;
automata/hyperltl/gni_concur_p1_3bit_A.hoa;automata/hyperltl/gni_concur_p1_3bit_B.hoa;0.0;0;14;0.0;0;;0.01;0;14;0.0;0;;0.0;0;0;0.01;0;;0.01;0;0;0.0;0;;0.01;0;14;0.01;0;;0.0;0;14;0.0;0;;0.0;0;16;0.0;0;;0.01;0;515;0.01;0;;0.01;0;14;0.0;0;;0.01;0;14;0.0;0;;0.0;0;16;0.0;0;;0.01;0;515;0.01;0;;0.01;0;513;0.01;0;
automata/hyperltl/gni_concur_p1_4bit_A.hoa;automata/hyperltl/gni_concur_p1_4bit_B.hoa;0.09;0;14;0.09;0;;0.06;0;14;0.07;0;;0.07;0;0;0.07;0;;0.11;0;0;0.1;0;;0.08;0;14;0.09;0;;0.06;0;14;0.06;0;;0.07;0;16;0.07;0;;0.21;0;2051;0.22;0;;0.09;0;14;0.1;0;;0.06;0;14;0.07;0;;0.08;0;16;0.06;0;;0.19;0;2051;0.19;0;;0.06;0;2049;0.06;0;
automata/hyperltl/gni_concur_p2_1bit_A.hoa;automata/hyperltl/gni_concur_p2_1bit_B.hoa;0.01;0;27;0.0;0;;0.0;0;27;0.0;0;;0.01;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;27;0.01;0;;0.0;0;27;0.0;0;;0.0;0;36;0.0;0;;0.0;0;373;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;;0.0;0;36;0.0;0;;0.0;0;373;0.0;0;;0.0;0;373;0.01;0;
automata/hyperltl/gni_concur_p3_1bit_A.hoa;automata/hyperltl/gni_concur_p3_1bit_B.hoa;0.01;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;22;0.0;0;;0.0;0;114;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;22;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;
automata/hyperltl/gni_concur_p3_3bit_A.hoa;automata/hyperltl/gni_concur_p3_3bit_B.hoa;0.02;0;14;0.02;0;;0.01;0;14;0.01;0;;0.02;0;0;0.02;0;;0.05;0;0;0.04;0;;0.01;0;14;0.01;0;;0.01;0;14;0.0;0;;0.02;0;22;0.02;0;;0.02;0;1795;0.02;0;;0.02;0;14;0.03;0;;0.01;0;14;0.01;0;;0.01;0;22;0.01;0;;0.02;0;1795;0.02;0;;0.02;0;1794;0.01;0;
automata/hyperltl/gni_concur_p4_1bit_A.hoa;automata/hyperltl/gni_concur_p4_1bit_B.hoa;0.0;0;17;0.0;0;;0.01;0;17;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;17;0.0;0;;0.0;0;17;0.0;0;;0.0;0;29;0.0;0;;0.0;0;177;0.0;0;;0.0;0;17;0.0;0;;0.01;0;17;0.0;0;;0.0;0;29;0.0;0;;0.0;0;177;0.0;0;;0.0;0;177;0.01;0;
automata/hyperltl/gni_concur_p4_3bit_A.hoa;automata/hyperltl/gni_concur_p4_3bit_B.hoa;0.05;0;17;0.05;0;;0.02;0;17;0.02;0;;0.05;0;0;0.05;0;;0.09;0;0;0.09;0;;0.06;0;17;0.05;0;;0.01;0;17;0.01;0;;0.05;0;29;0.05;0;;0.03;0;2818;0.03;0;;0.04;0;17;0.04;0;;0.01;0;17;0.01;0;;0.05;0;29;0.05;0;;0.03;0;2818;0.03;0;;0.01;0;2817;0.01;0;
automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;0.0;0;1;0.0;0;;0.0;0;1;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;5;0.0;0;;0.01;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;4;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.01;0;
