file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.04;0;;0.08;1;;0.09;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;25;0.0;1;25;0.0;1;25;0.0;1;25;0.0;1;26
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;0.04;0;;0.07;1;;0.08;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;58
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;0.06;0;;0.09;1;;0.08;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;38;0.0;1;37;0.0;1;37;0.0;1;37;0.0;1;42
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;0.04;0;;0.08;1;;0.08;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;6;0.0;1;79
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_B.ba.hoa;0.07;0;;0.07;1;;0.1;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;28;0.0;1;28;0.0;1;28;0.0;1;28;0.0;1;81
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_B.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_A.ba.hoa;0.08;0;;0.08;1;;0.12;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;28;0.01;1;28;0.0;1;28;0.01;1;28;0.0;1;166
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.04;0;;0.06;1;;0.09;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;12
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;0.05;0;;0.08;1;;0.1;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;10;0.0;1;10;0.0;1;10;0.0;1;10;0.01;1;5
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.04;0;;0.07;1;;0.09;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;21;0.0;1;21;0.0;1;21;0.0;1;21;0.0;1;17
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;0.04;0;;0.07;1;;0.08;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;29
